School Year,School Code,Organization,Assessment Name,ContentArea,Grade,PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,ELA,8th Grade,91.8,2653.84,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,ELA,All Students,83.9,,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,MATH,6th Grade,60.26,2583.78,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,MATH,7th Grade,63.64,2588.14,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,MATH,8th Grade,78.69,2640.46,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,628,Dover Air Force Base Middle School,Smarter Balanced Summative Assessment,MATH,All Students,66.83,,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
2015,630,John S. Charlton School,DCAS Alternate Assessment,ELA,3rd Grade,61.11,668.67,226.0,,6.647058823529412,,,,,,,,56.5,,,,113.0,,,,,56.5,56.5,45.2,56.5,,3.373134328358209,75.33333333333333,226.0,226.0,,75.33333333333333,,226.0,,,
2015,630,John S. Charlton School,DCAS Alternate Assessment,ELA,7th Grade,35.71,663.79,226.0,,6.647058823529412,,,,,,,,56.5,,,,113.0,,,,,56.5,56.5,45.2,56.5,,3.373134328358209,75.33333333333333,226.0,226.0,,75.33333333333333,,226.0,,,
2015,630,John S. Charlton School,DCAS Alternate Assessment,ELA,All Students,49.58,,226.0,,6.647058823529412,,,,,,,,56.5,,,,113.0,,,,,56.5,56.5,45.2,56.5,,3.373134328358209,75.33333333333333,226.0,226.0,,75.33333333333333,,226.0,,,
2015,630,John S. Charlton School,DCAS Alternate Assessment,MAT,3rd Grade,33.33,621.5,226.0,,6.647058823529412,,,,,,,,56.5,,,,113.0,,,,,56.5,56.5,45.2,56.5,,3.373134328358209,75.33333333333333,226.0,226.0,,75.33333333333333,,226.0,,,
